,title,price,rating,reviews,availability,brand,model,screen_size
60,MI 138 cm (55 inches) X 4K Dolby Vision Series Smart Google TV L55M8-A2IN (Black),"39,999",4.1 out of 5 stars,"1,456 ratings",In stock,55 Inches,L55M8-A2IN,55 Inches
61,Blaupunkt 108 cm (43 inches) Cyber Sound G2 Series Full HD LED Google TV 43CSG7105 (Black),"16,999",4.7 out of 5 stars,4 ratings,In stock,43 Inches,43CSG7105,43 Inches
62,TCL 164 cm (65 inches) Bezel-Less Series 4K Ultra HD Smart LED Google TV 65P635 (Black),"47,990",4.1 stars,"1,402 ratings",In stock,65 Inches,65P635,65 Inches
63,Foxsky 60.96 cm (24 inches) HD Ready LED TV 24FSN (Black),"5,199",4.5 out of 5 stars,798 ratings,In stock,24 Inches,24fsn,24 Inches
64,MI 108 cm (43 inches) A Series Full HD Smart Google TV L43M8-5AIN (Black),"24,999",4.2 out of 5 stars,"55,945 ratings",In stock,43 Inches,L43M8-5AIN,43 Inches
65,Acer 127 cm (50 inches) Advanced I Series 4K Ultra HD Smart LED Google TV AR50GR2851UDFL (Black),"29,999",4.4 out of 5 stars,"5,246 ratings",In stock,50 Inches,Acer 127 cm (50 inches) I Series 4K Ultra HD Smart LED Google TV AR50GR2851UDFL (Black) (2023 Model),50 Inches
66,VU 108 cm (43 inches) Premium Series Full HD Smart LED TV 43GA (Black),"22,490",4.1 stars,"1,319 ratings",In stock,43 Inches,Vu Premium,43 Inches
67,Samsung 108 cm (43 inches) Full HD Smart LED TV UA43T5450AKXXL (Black),"26,990",4.4 stars,95 ratings,In stock,43 Inches,UA43T5450AKXXL,43 Inches
68,TOSHIBA 139 cm (55 inches) 4K Ultra HD Smart LED Google TV 55C350MP (Silver) | Dobly Vision & Atoms | HDR 10+ | REGZA Power Audio,"31,999",4.1 out of 5 stars,"2,056 ratings",In stock,55 Inches,55C350MP,55 Inches
69,Kodak 100 cm (40 inches) 9XPRO Series Full HD Certified Android LED TV 409X5061 (Black),"15,499",4.4 out of 5 stars,"12,682 ratings",In stock,40 Inches,409X5061,40 Inches
70,TCL 80.04 cm (32 inches) Bezel-Less S Series HD Ready Smart Android LED TV 32S5400A (Black),"12,490",4.1 stars,"5,169 ratings",In stock,32 Inches,32S5400A,32 Inches
71,Samsung 125 cm (50 inches) Crystal iSmart 4K Ultra HD Smart LED TV UA50CUE60AKLXL (Black),"42,990",4.4 stars,"11,267 ratings",In stock,50 Inches,UA50CUE60AKLXL,50 Inches
72,Samsung 125 cm (50 inches) Crystal iSmart 4K Ultra HD Smart LED TV UA50CUE60AKLXL (Black),"42,990",4.4 stars,"11,267 ratings",In stock,50 Inches,UA50CUE60AKLXL,50 Inches
73,"Dyanora 60 cm (24 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers (DY-LD24H0N)","5,999",3.8 out of 5 stars,275 ratings,In stock,24 Inches,DY-LD24H0N,24 Inches
74,Kodak 80 cm (32 inches) 9XPRO Series HD Ready Certified Android LED TV 329X5051 (Black),"9,749",4.1 out of 5 stars,"12,682 ratings",In stock,32 Inches,329X5051,32 Inches
75,LG 80 cm (32 inches) HD Ready Smart LED TV 32LQ576BPSA (Ceramic Black),"15,990",4.5 stars,"14,798 ratings",In stock,32 Inches,32LQ576,32 Inches
76,VW 109 cm (43 inches) Playwall Frameless Series Full HD Android Smart LED TV VW43F1 (Black),"14,999",4.1 out of 5 stars,"3,629 ratings",In stock,43 Inches,VW 109 cm (43 inches) Full HD Smart LED TV VW43F1 (Black) (2022 Model) | With Frameless Design,43 Inches
77,Vu 215 cms (85 inches) Masterpiece Series 4K Ultra HD Smart QLED TV 85QV (Jetplane Grey),"2,94,999",4.4 out of 5 stars,9 ratings,In stock,85 Inches,85QV,85 Inches
78,Kodak 108 cm (43 inches) 4K Ultra HD Smart QLED TV 43MT5055 (Black),"23,999",4.4 out of 5 stars,"1,107 ratings",In stock,43 Inches,43MT5055,43 Inches
79,LG 126 cm (50 inches) 4K Ultra HD Smart LED TV 50UR7500PSC (Dark Iron Gray),"42,990",4.5 stars,"4,681 ratings",In stock,50 Inches,50UR7500PSC,50 Inches
80,"Sounce AV RCA to VGA Adapter Audio Video Converter,Composite AV to VGA 3.5mm TV Video Playing Adapter 1080p with USB Power Cable VCD DVD Projector TV Set Top Box",399,3.8 out of 5 stars,20 ratings,In stock,"Projector, Monitor",,
81,Mi Android TV Stick 4K with Dolby Vision and Dolby Atmos Media Streaming Device (Black),"4,999",3.6 out of 5 stars,28 ratings,In stock,Xiaomi,Mi,
82,SANSUI 80 cm (32 inches) HD Ready Smart A+ LED Google TV JSWY32GSHD (Black),"10,999",3.8 out of 5 stars,260 ratings,In stock,32 Inches,JSWY32GSHD,32 Inches
83,Sony Bravia 164 cm (65 inches) 4K Ultra HD Smart LED Google TV KD-65X74L (Black),"77,990",4.5 stars,"22,642 ratings",In stock,65 Inches,KD-65X74L,65 Inches
84,Samsung 138 cm (55 Inches) Crystal Vision 4K Ultra HD Smart LED TV UA55CUE70AKLXL (Titan Gray),"46,990",4.4 stars,"11,267 ratings",In stock,55 Inches,UA55CUE70AKLXL,55 Inches
85,"RISSACHI Heavy Duty TV Wall Mount Bracket for 14 inch to 42 inch LCD/LED/Monitor/Smart TV, Fixed Universal TV Wall Stand Capacity 25kg",284,4.5 out of 5 stars,"1,877 ratings",In stock,Wall Mount,,
86,Sony Bravia 139 cm (55 inches) 4K Ultra HD Smart LED Google TV KD-55X74L (Black),"63,990",4.5 stars,"22,642 ratings",In stock,55 Inches,KD-55X74L,55 Inches
87,TCL 189.5 cm (75 inches) Bezel-Less Series 4K Ultra HD Smart LED Google TV 75P635 (Black),"66,990",4.1 stars,"1,402 ratings",In stock,75 Inches,75P635,75 Inches
88,MI 125 cm (50 inches) X 4K Dolby Vision Series Smart Google TV L50M8-A2IN (Black),"34,999",4.1 out of 5 stars,"1,456 ratings",In stock,50 Inches,L50M8-A2IN,50 Inches
89,Bluetooth Voice Command Compatible with Samsung Smart 4K Tv Remote Control of Original BN59-01312F with Samsung Ultra Curved TV Remote Control and Compatible for LED Android UHD OLED QLED,"1,576",4.6 out of 5 stars,"2,081 ratings",In stock,ZdalaMit,,
90,"Cornea Frameless 218 cm (86 inch) 4K Ultra HD Smart Android LED TV, Black (2022 Model) (with No Cost EMI Offer on All Major Banks)","1,84,055",5.0 out of 5 stars,5 ratings,In stock,86 Inches,Cornea Frameless 218 cm (86 inch) Ultra HD (4K) LED Smart TV,86 Inches
91,Kodak 139 cm (55 inches) CAPRO Series 4K Ultra HD LED Google TV 55CAPROGT5014 (Black),"29,200",4.4 out of 5 stars,"2,476 ratings",In stock,55 Inches,55CAPROGT5014,55 Inches
92,Quess 2 Year Extended Warranty for TV Between Rs 30001 to Rs 40000 (E-Mail Delivery),"2,387",4.0 out of 5 stars,"1,456 ratings",In stock,,,
93,Blaupunkt 108 cm (43 inches) Quantam Dot Series 4K Ultra HD QLED Google TV 43QD7050 (Black),"21,999",4.0 out of 5 stars,24 ratings,In stock,43 Inches,43QD7050,43 Inches
94,Westinghouse 100 cm (40 inches) W2 Series Full HD Certified Android LED TV WH40FX51 (Black),"13,999",4.4 out of 5 stars,402 ratings,In stock,40 Inches,WH40FX51,40 Inches
95,Acer 127 cm (50 inches) I Series 4K Ultra HD Android Smart LED TV AR50AR2851UDFL (Black),"27,999",4.3 out of 5 stars,"14,138 ratings",In stock,50 Inches,,50 Inches
96,Sony Bravia 80 cm (32 inches) HD Ready Smart LED Google TV KD-32W820K (Black),"24,990",4.5 stars,"1,389 ratings",In stock,32 Inches,Bravia,32 Inches
97,TOSHIBA 108 cm (43 inches) 4K Ultra HD Smart LED Google TV 43C350MP (Silver) | Dobly Vision & Atoms | HDR 10+ | REGZA Power Audio,"24,999",4.1 out of 5 stars,"2,056 ratings",In stock,43 Inches,43C350MP,43 Inches
98,TCL 189 cm (75 inches) Bezel-Less Full Screen Series Ultra HD 4K Smart LED Google TV 75P635 Pro (Black),"79,990",4.1 stars,"1,402 ratings",In stock,75 Inches,75P635 Pro,75 Inches
99,RISSACHI Heavy Duty Wall & Ceiling Mounts for 14 to 42 inch LED/LCD TV (Black),729,3.8 out of 5 stars,300 ratings,In stock,"Wall Mount, Ceiling Mount",,
100,TCL 126 cm (50 inches) 4K Ultra HD Smart QLED Google TV 50T6G (Black),"33,990",4.1 stars,"1,495 ratings",In stock,50 Inches,50T6G,50 Inches
101,"SHOPOFLUX Silicone Remote Cover Compatible with Redmi 4k Ultra 43 inch, Xiaomi OLED Series 55 inch, Xiaomi 5A Series 32/40/43 inch TV (Black)",249,4.3 out of 5 stars,208 ratings,In stock,SHOPOFLUX,,
102,OnePlus 163 cm (65 inches) Q Series 4K Ultra HD QLED Smart Google TV 65 Q2 Pro (Black),"86,152",4.1 out of 5 stars,157 ratings,In stock,65 Inches,65 Q2 Pro,65 Inches
103,"Kodak 139 Cm (55 Inches) Matrix Series 4K Ultra Hd Smart QLED Google Tv 55Mt5022, Black","32,999",4.4 out of 5 stars,"1,107 ratings",In stock,55 Inches,Matrix Series,55 Inches
104,Vu 108 cm (43 inches) Premium Series 4K Ultra HD Smart LED Google TV 43CA (Black),,4.5 out of 5 stars,"4,121 ratings",,43 Inches,43CA_Google TV,43 Inches
105,MI 100 cm (40 inches) 5A Series Full HD Smart Android LED TV L40M7-EAIN (Black),"21,999",4.4 out of 5 stars,"55,945 ratings",In stock,40 Inches,Xiaomi TV 5A 40,40 Inches
106,Redmi 108 cm (43 inches) 4K Ultra HD Smart LED Fire TV L43R8-FVIN (Black),"24,999",4.2 out of 5 stars,"60,037 ratings",In stock,43 Inches,L43R8-FVIN,43 Inches
107,ALT 126 cm (50 inch) Premium Series 4K Ultra HD QLED Google Smart TV 50QUGA1 (Black) 2023 Model,"25,990",4.2 out of 5 stars,640 ratings,In stock,126 Centimetres,Google QLED Series,126 Centimetres
108,Electvision Remote Control For Led Or Lcd Tv Compatible With Kodak/Thomson Televisions Small (Please Match The Image With Your Existing Remote Before Placing The Order Before)Black,275,4.4 out of 5 stars,406 ratings,In stock,Electvision,,
109,LOHAYA Television Remote Compatible for VU LED LCD HD Tv Remote Control Model No :- EN2B27V,299,3.5 out of 5 stars,783 ratings,In stock,LOHAYA,,
110,Oboe Silicone TV Remote Cover Compatible with Oneplus Tv Remote Q Series/U Series / Y1S / Y1S Edge Smart LED TV Remote Protective Case with Remote Loop (Black) [Remote NOT Included],399,4.4 out of 5 stars,"1,060 ratings",In stock,OBOE,,
111,Blaupunkt 100 cm (40 inches) Cyber Sound G2 Series Full HD Android TV 40CSG7112 (Black),"14,999",4.0 out of 5 stars,2 ratings,In stock,40 Inches,40CSG7112,40 Inches
112,7SEVEN® Compatible for Samsung Tv Remote Original Smart Led UHD QLED Television and Monitor Suitable for Frame Ultra 6 7 8 Series with Hot Keys BN59 Model Without Voice Command,299,4.4 out of 5 stars,952 ratings,In stock,7 SEVEN,,
113,Hisense 126 cm (50 inches) Tornado 2.0 Series 4K Ultra HD Smart LED Google TV 50A7H (Metal Gray),"29,999",4.4 out of 5 stars,"1,607 ratings",In stock,50 Inches,50A7H,50 Inches
114,Onida 108 cm (43 inches) Full HD Smart LED Fire TV 43FIF3 (Black),"21,999",4.4 out of 5 stars,"5,004 ratings",In stock,43 Inches,43FIF3_FireTV,43 Inches
115,Hisense 139 cm (55 inches) 4K Ultra HD Smart QLED TV 55E7K (Black) | Dolby Vision & Atmos | Game Mode Plus | Voice Remote,"33,999",4.0 out of 5 stars,398 ratings,In stock,55 Inches,55E7K,55 Inches
116,Samsung 138 cm (55 inches) Crystal iSmart 4K Ultra HD Smart LED TV UA55CUE60AKLXL (Black),"45,990",4.4 stars,"11,267 ratings",In stock,55 Inches,UA55CUE60AKLXL,55 Inches
117,7SEVEN® Compatible Vu Smart Tv Remote Control Suitable for Original 4K Android LED Ultra HD UHD Vu Tv Remote with Non Voice Feature Without Google Assistant,389,3.5 out of 5 stars,358 ratings,In stock,7 SEVEN,,
118,Panasonic 80 cm (32 inches) HD Ready Smart LED Google TV TH32MS660DX (Black),"15,990",4.3 stars,"3,417 ratings",In stock,32 Inches,TH-32MS660DX,32 Inches
119,"7SEVEN® Infrared Remote Control for Realme Smart 4K Android LED OLED QLED TV Replacement for Original realme Remote with Netflix, Prime Video and YouTube Hot Keys",379,3.6 out of 5 stars,156 ratings,In stock,7 SEVEN,,
120,Samsung 138 cm (55 inches) Crystal iSmart 4K Ultra HD Smart LED TV UA55CUE60AKLXL (Black),"45,990",4.4 stars,"11,267 ratings",In stock,55 Inches,UA55CUE60AKLXL,55 Inches
121,7SEVEN® Compatible Vu Smart Tv Remote Control Suitable for Original 4K Android LED Ultra HD UHD Vu Tv Remote with Non Voice Feature Without Google Assistant,389,3.5 out of 5 stars,358 ratings,In stock,7 SEVEN,,
122,Panasonic 80 cm (32 inches) HD Ready Smart LED Google TV TH32MS660DX (Black),"15,990",4.3 stars,"3,417 ratings",In stock,32 Inches,TH-32MS660DX,32 Inches
123,"7SEVEN® Infrared Remote Control for Realme Smart 4K Android LED OLED QLED TV Replacement for Original realme Remote with Netflix, Prime Video and YouTube Hot Keys",379,3.6 out of 5 stars,156 ratings,In stock,7 SEVEN,,
124,VW 109 cm (43 inches) QL Frameless Series 4K Ultra HD Smart QLED TV VW43QUW1 (Black),"21,999",4.4 out of 5 stars,187 ratings,In stock,43 Inches,VW43QUW1,43 Inches
125,iFFALCON 126 cm (50 inches) 4K Ultra HD Smart LED Google TV iFF50U62 (Black),"25,999",4.1 stars,"3,617 ratings",In stock,50 Inches,iFF50U62,50 Inches
126,"RISSACHI Heavy Duty TV Wall Mount Bracket for 14 inch to 42 inch LCD/LED/Monitor/Smart TV, Fixed Universal TV Wall Stand (Fixed 14 inch to 42 inch)",331,4.4 out of 5 stars,548 ratings,In stock,Wall Mount,,
127,Dealfreez Protective Full Wrap Silicone Case Compatible with New Siri Apple TV 4k 2nd Generation Remote Skin-Friendly Shock Proof Anti-Slip Washable Protective Cover Sleeve (C-Black),599,4.4 out of 5 stars,"1,619 ratings",In stock,DEALFREEZ,,
128,Voice Remote Compatible for Samsung Smart TV QLED UHD Frame Curved Solar 4K 8K Q60 Q70 Q80 Q90 8 Series 9 Series TU8000 AU8000 Voice Remote Control Replacement,749,4.4 out of 5 stars,"6,289 ratings",In stock,EWO'S,,
129,Samsung 214 cm (85 inches) 8K Ultra HD Smart Neo QLED TV QA85QN900AKXXL (Steel),"11,49,990",4.4 stars,17 ratings,In stock,85 Inches,QA85QN900AKXXL,85 Inches
130,Acer 109 cm (43 inches) Advanced I Series Full HD Smart LED Google TV AR43GR2841FDFL (Black),"20,999",4.3 out of 5 stars,87 ratings,In stock,43 Inches,AR43GR2841FDFL,43 Inches
131,TOSHIBA 126 cm (50 inches) 4K Ultra HD Smart LED Google TV 50C350MP (Silver) | Dobly Vision & Atoms | HDR 10+ | REGZA Power Audio,"30,999",4.1 out of 5 stars,"2,056 ratings",In stock,50 Inches,50C350MP,50 Inches
